"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000227232.5" 27.4454319779235 -0.901115277226081 0.642505884033092 -1.40250120601179 0.160765630622396 NA
"ENSG00000279457.4" 60.5466710753398 0.0740730730711455 0.370409514064632 0.199976162216559 0.841499224348344 NA
"ENSG00000228463.10" 36.3043341520087 -1.45952508333113 0.543783109155726 -2.68402063020527 0.00727426174217887 NA
"ENSG00000230021.10" 677.04577058841 0.049316512405979 0.12154930592676 0.405732571074449 0.684939107551391 0.875026950163494
"ENSG00000225972.1" 25.2995241939091 0.0333862123938772 0.660418230097685 0.0505531356833365 0.959681607347664 NA
"ENSG00000225630.1" 435.495124729338 0.0387855769115082 0.15029371651792 0.258065192678123 0.796356594128614 0.926354772439717
"ENSG00000248527.1" 1963.26120184131 -0.056059542711807 0.102520877780354 -0.546810990361513 0.584508591720056 0.823436495969695
"ENSG00000291215.1" 234.348830073362 -0.297300211423321 0.206018754148716 -1.44307353304696 0.148999758137255 NA
"ENSG00000228327.6" 36.1894229496414 -0.163733311649577 0.502662863962246 -0.325731864015072 0.744627233897091 NA
"ENSG00000237491.10" 257.31026085238 -0.0189958886873487 0.187988359674079 -0.101048217667745 0.919512183865327 NA
"ENSG00000290784.1" 83.3269540919983 0.733962358521878 0.316371143699502 2.31994090845092 0.0203440741847682 NA
"ENSG00000230092.8" 19.8595472184622 0.88814610663627 0.692205057040363 1.28306792561396 0.19946827968998 NA
"ENSG00000225880.6" 47.6216236025685 -0.154233588140026 0.435745661294731 -0.353953238872768 0.723373927472409 NA
"ENSG00000228794.12" 255.682716694474 0.0106481659547606 0.190550211592401 0.0558811552386919 0.955436483309656 NA
"ENSG00000272438.1" 142.159127420503 0.0248089419083544 0.254430117236846 0.0975078822341622 0.922323074942971 NA
"ENSG00000230699.2" 40.0765792834926 -0.359117864522418 0.516581049997164 -0.695182032953764 0.486941230609893 NA
"ENSG00000188976.11" 744.278372441869 -0.0383310081786593 0.130813347184783 -0.293020620629134 0.769506390147173 0.915569126088352
"ENSG00000187961.15" 82.6931541876298 -0.145810675783696 0.339502907364322 -0.429482848661517 0.667571872955395 NA
"ENSG00000272512.1" 21.5435354191399 -0.0387678422329819 0.676387217409279 -0.0573160480197597 0.954293436896547 NA
