chrom	start	end	haarhuis_2017.WT	sanborn_2015.WT	T-MAU2	T-mCherry	T-MAU2_Dox_1H
chr1	0	200000					
chr1	200000	400000					
chr1	400000	600000					
chr1	600000	800000					
chr1	800000	1000000	1.2148290261732164	1.0240587176808849			
chr1	1000000	1200000	1.3225128199573877	1.1681871902117205			
chr1	1200000	1400000	1.052000570237321	0.924650504745311			
chr1	1400000	1600000	1.2094570969495482	0.9896039118070352		1.20145985827432	
chr1	1600000	1800000	1.2659765753948762	1.0196818173129378			
chr1	1800000	2000000	1.4416245963667444	1.233250129581429	1.679612642552185	1.2993292569041288	1.7436323170583756
chr1	2000000	2200000	1.2938781722801551	0.9564084482580752		1.237682900481791	1.624994895132691
chr1	2200000	2400000	1.1855544855309008	0.9651247623985256	1.313151864613387	0.9004917871785344	1.210009124790879
chr1	2400000	2600000		0.5699403163969765			
chr1	2600000	2800000					
chr1	2800000	3000000	0.5212423913898049	0.0672690130333837	-1.2935617792256493	-1.2115184271892712	-1.2108621642130375
chr1	3000000	3200000	0.795525130560404	0.2954952358313839	-1.4118497658366949	-1.4084229188940216	-1.301843227108082
chr1	3200000	3400000	0.7877049401915522	0.3092757934655694	-1.232691198772713	-1.0880702374651294	-1.0053370783939366
chr1	3400000	3600000	0.8044847195741075	0.5997291053215296	0.338941374637448	0.1669958464963445	0.3637810101250861
chr1	3600000	3800000	1.005719679585665	0.9280139855985192	0.8624126066482691	0.5643975097806445	0.7173515781106045
chr1	3800000	4000000	0.4332036627434229	0.1399619515588449	-0.2953991270640532	-0.3779941572257467	-0.2413033329473879
chr1	4000000	4200000	0.0132948907482866	-0.5884281938127199	-1.3430218472355544	-1.414467407160109	-1.282562805353469
chr1	4200000	4400000	-0.0429723071727732	-0.797073200975812	-1.4420515653537322	-1.5362377038989363	-1.3564198211770526
chr1	4400000	4600000	-0.0422109295512744	-0.7881348914647908	-1.456773285878997	-1.432978785366667	-1.376653677981868
chr1	4600000	4800000	-0.0873039863104821	-0.8060883731794348	-1.2491500883886606	-1.3656944170018592	-1.2718656811487783
chr1	4800000	5000000	-0.1226904874405371	-0.7676886268801909	-1.4181171787083435	-1.4816116035656246	-1.3797271802821955
chr1	5000000	5200000	-0.1091843958012892	-0.7764310256007491	-1.4336171536283342	-1.5431231790341826	-1.2696458303719649
chr1	5200000	5400000	-0.1268269428744624	-0.7026829153712398	-1.437208287763349	-1.4673263880903409	-1.2875779718082236
chr1	5400000	5600000	0.0027292282143561	-0.5436118731804082	-1.3396781043046273	-1.3479826115030404	-1.3385473175341396
chr1	5600000	5800000	0.1210036524568651	-0.4154917261691051	-1.2720541676152284	-1.3604037520615009	-1.2741690344391774
chr1	5800000	6000000	0.3649556538539195	0.0665264578514466	-0.4048575125937569	-0.4471310927211282	-0.3298257589442536
chr1	6000000	6200000	0.8357136157807706	0.6179471882861881	0.5132503143975613	0.2913910248652173	0.4061031739466406
chr1	6200000	6400000	1.1712496761933089	1.002886705194357	1.2761597486890413	0.8236088984272512	1.2205300410708488
chr1	6400000	6600000	1.1277935233785894	1.1472159315378825	1.1792910626286743	0.8625503474699399	1.1948809561538585
chr1	6600000	6800000	0.8860669565764595	0.8733370607007542	0.8232404157759519	0.5292469895200338	0.7953566596297118
chr1	6800000	7000000	0.8218764105651213	0.6552744687833209	0.0267898555515905	-0.0398295533826701	0.1724002593552792
chr1	7000000	7200000	0.5205550151739061	0.097688803040378	-1.3020499108627568	-1.2074704523780948	-1.2582085750059528
chr1	7200000	7400000	0.5233852374533284	0.0914566461741214	-1.4123906543691689	-1.4565277561041954	-1.2920948605806637
chr1	7400000	7600000	0.5649581302508722	0.1832084995688542	-1.4450273476989577	-1.450761067664981	-1.3434861875969577
chr1	7600000	7800000	0.7019238691272189	0.5231537257881426	-0.0097756178214335	-0.0859228410713863	0.0479277524728471
chr1	7800000	8000000	0.7501169646330478	0.6215532546473181	0.4601436520911988	0.3097259971873456	0.4595044757243918
chr1	8000000	8200000	0.7955671315060191	0.572599668912375	-0.3289236913385772	-0.3846341924764098	-0.2919286795363568
chr1	8200000	8400000	0.7467824425764461	0.5799274183363826	-0.0833884540475602	0.005594372096914	-0.1073086533263684
chr1	8400000	8600000	0.857944464280468	0.9242444897431707	0.9797882997478714	0.8054612542715393	1.0258114667820777
chr1	8600000	8800000	0.9259319095703944	0.9846408479108272	1.1482572438214973	1.0136312495950042	1.0230740976075534
chr1	8800000	9000000	0.9277407512861328	0.8294874939158421	1.0620337102587762	0.9078852124556076	0.9905638940927338
chr1	9000000	9200000	0.976379324311446	0.9541069641920996	1.019366638841502	0.9297020340009092	0.9911965406866092
chr1	9200000	9400000	0.9753214530015458	0.9007589258806104	0.917202119762112	0.9701707817900012	1.0740978041999902
chr1	9400000	9600000	0.9571935567882486	0.8578522419857769	1.008448500044838	0.8713437755152572	1.0204006866405733
chr1	9600000	9800000	0.9120208676242724	0.9026808410672714	1.0045847714869165	0.9014951090657548	1.0458009927906255
chr1	9800000	10000000	0.9678282439126926	0.8335104131380918	1.0213135901833952	0.978185866759868	1.131131679652556
chr1	10000000	10200000	1.0592201163061172	0.9757564642673776	1.1967542043529045	1.0107003622226376	1.198128802281698
chr1	10200000	10400000	1.0308240909593016	0.9689525400511972	1.186759996356119	1.0878128614100069	1.3012113059163524
chr1	10400000	10600000	0.8268328603225047	0.7192718929198235	0.8770182915056182	0.779938764592238	0.898442673705707
chr1	10600000	10800000	1.0809896128646292	1.0400668551422896	0.958152617845456	0.819096134725455	0.995076841013524
chr1	10800000	11000000	0.8286882661410137	0.776664257330282	0.8011665021259929	0.6666557526064153	0.8499481204054125
chr1	11000000	11200000	0.9464771994898064	0.768414242855954	0.9923225136902178	0.8247718458797577	1.000560099417986
chr1	11200000	11400000	0.8762546994933483	0.689400389308283	0.7090045667523744	0.6984655055386959	0.8159950533085447
chr1	11400000	11600000	0.9404402702563818	0.4584281110487841	0.481093938892739	0.4938186217602072	0.4743446388779278
chr1	11600000	11800000	0.9185388337162314	0.7151408997121992	0.7049770302979926	0.7861808696375346	0.7776687283572159
